CÓDIGO;ESCUELA;REGIONAL;DISTRITO;CORREGIMIENTO;LATITUD;LONGITUD;NIVEL ESCOLAR;MATRÍCULA;ENERGIA;ACCESO;Director;Telefono;Regional Meduca;Telefono2;Categoría Implementación;IP WAN (mikrotik);IP LAN;Firewall;Gabinete 9U;PATCHPANEL;MANEJADOR DE CABLE;Bandeja;PDU;UPS;UPS SNMP Card;RT Mikrotik Tipo A (negro);RT Mikrotik Tipo B (blanco);AP INDOOR;AP OUTDOOR;Power Inyector ;Kit Starlink;Base Starlink;Gabinete 42U;Fotovoltaico;Bodega;Instalacion;Fecha final;COMENTARIOS;Configurado x Liberty
545;C.E.B.G. BILINGÜE ABELARDO HERRE- RA;COCLÉ;AGUADULCE;BARRIOS UNIDOS;8.237081000;-80.53985300;Primaria;943;SI;TERRESTRE;MIRLA QUINTERO;67537081;DANIEL HERRERA;66775810;Drop CWP;10.60.62.142/30;172.16.36.96/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
546;C.E.B.G. PAULA F. DE JIMENEZ;COCLÉ;AGUADULCE;POCRÍ;8.256761000;-80.56115400;Primaria;35;SI;TERRESTRE;MASIEL AMORES;6554-2874;DANIEL HERRERA;66775810;Drop CWP;10.60.63.136/30;172.16.44.64/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
550;COL. RODOLFO CHIARI;COCLÉ;AGUADULCE;AGUADULCE;8.241472880;-80.54941520;"Media Academic
a";2090;SI;TERRESTRE;Estela J. Duffau Y.;6615-9354   ;DANIEL HERRERA;66775810;Fibra Activa CWP;10.60.62.116/30;172.16.35.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;NO
554;I.P.T. INDUSTRIAL AGUADULCE;COCLÉ;AGUADULCE;AGUADULCE;8.243972870;-80.52997080;Prof. Y Tecnica;749;SI;TERRESTRE;FELIPE VÁSQUEZ;6558-9551;DANIEL HERRERA;66775810;Fibra Activa CWP;10.60.62.120/30;172.16.35.192/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
558;ESC. BILINGÜE ALEJANDRO TAPIA ESCOBAR;COCLÉ;AGUADULCE;AGUADULCE;8.247090000;-80.54003400;Primaria;873;SI;TERRESTRE;YESENIA FUENTES;6725-6776;DANIEL HERRERA;66775810;Drop CWP;10.60.62.146/30;172.16.36.128/27;Juan Franco-Check Point;1;1;1;1;1;1;1;;1;1;;1;;0;;;Aguadulce;;Diciembre;;SI
560;ESC. ANA POLO TAPIA;COCLÉ;AGUADULCE;AGUADULCE;8.238417290;-80.55413750;Primaria;297;SI;TERRESTRE;MARLENIA AGUILAR;6510-2027;DANIEL HERRERA;66775810;Fibra Activa CWP;10.80.99.148/30;172.17.156.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Enero 2026;;NO
561;ESC. DANIEL QUIROS PEREIRA;COCLÉ;AGUADULCE;EL CRISTO;8.223400000;-80.61368000;Primaria;41;SI;TERRESTRE;IVIS TEJEDOR;6412-5785;DANIEL HERRERA;66775810;Construcción FTTH;10.60.66.20/30;172.16.64.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
562;ESC. EL NARANJAL;COCLÉ;AGUADULCE;EL CRISTO;8.271460000;-80.62210000;Primaria;60;SI;TERRESTRE;JETZABEL ARANDA;6559-5587;DANIEL HERRERA;66775810;Drop CWP;10.60.60.232/30;172.17.117.160/27;Juan Franco-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;SI
563;C.E.B.G. EL PINZON;COCLÉ;AGUADULCE;EL CRISTO;8.276980000;-80.70171000;Primaria;11;SI;TERRESTRE;ODILKA FLORES;6522-0003;DANIEL HERRERA;66775810;Construcción OE;10.80.85.228/30;172.17.47.32/27;Balboa-Check Point;1;1;1;1;1;1;1;1;;1;;;;0;;;Aguadulce;;Diciembre;;NO
565;C.E.B.G. LOS VOLCANES;COCLÉ;AGUADULCE;EL CRISTO;8.277880000;-80.64543000;Primaria;7;NO;SD;MARTIN DE GRACIA;69570553;DANIEL HERRERA;66775810;Construcción FTTH;;;Pendiente;1;SD;SD;SD;SD;SD;SD;1;;1;;;;SD;;;Aguadulce;;Febrero 2026;;NO
